,1A,2A,3A,1B,2B,3B,1C,2C,3C
248,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,307.4627576386171,999.0
249,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,308.49743838005173,999.0
250,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,309.53207844202257,999.0
251,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,310.56667694124434,999.0
252,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,311.6012330356421,999.0
253,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,312.63574590677683,999.0
254,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,313.6702147066881,999.0
255,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,314.70463865650447,999.0
256,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,315.7390169612663,999.0
257,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,316.7733488435915,999.0
258,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,317.8076335746218,999.0
259,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,318.84187037680096,999.0
260,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,319.8760585469673,999.0
261,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,320.9101973692517,999.0
262,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,321.9442861511312,999.0
263,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,322.9783242144233,999.0
264,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,324.01231086348395,999.0
265,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,325.0462454689301,999.0
266,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,326.0801273912015,999.0
267,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,327.11395599866125,999.0
268,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,328.1477306751216,999.0
269,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,329.18145081944556,999.0
270,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,330.21511584160885,999.0
271,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,331.24872517190175,999.0
272,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,332.28227824701065,999.0
